symbol,alpha,sharpe,ci_low,ci_high
A,5.19620571727468e-06,0.12216833144103081,-6.950030291236956e-07,1.1087414463673055e-05
AAL,1.9107843872250467e-06,0.03078111040559192,-5.517326331148832e-06,9.338895105598926e-06
AAP,-8.971623992399353e-06,-0.10777246308166247,-1.966738757663889e-05,1.724139591840185e-06
ABBV,3.702152124714975e-06,0.1160754505960429,-1.2244137818308203e-06,8.628718031260771e-06
ABC,-1.837518236815347e-06,-0.038540525367128056,-8.819963303204436e-06,5.1449268295737415e-06
